old_label,new_label
1,0
3,1
4,2
5,3
6,4
7,5
8,6
9,7
11,8
12,9
13,10
14,11
15,12
16,13
17,14
18,15
19,16
20,17
21,18
22,19
23,20
24,21
25,22
28,23
29,24
30,25
31,26
32,27
33,28
34,29
35,30
36,31
37,32
38,33
39,34
40,35
43,36
44,37
46,38
48,39
49,40
50,41
51,42
52,43
53,44
54,45
55,46
56,47
57,48
58,49
59,50
60,51
61,52
62,53
63,54
65,55
66,56
67,57
68,58
69,59
70,60
72,61
73,62
74,63
75,64
76,65
77,66
78,67
79,68
80,69
81,70
82,71
83,72
84,73
85,74
86,75
87,76
88,77
89,78
90,79
91,80
92,81
93,82
94,83
95,84
96,85
97,86
98,87
101,88
102,89
103,90
104,91
105,92
106,93
107,94
108,95
109,96
110,97
111,98
112,99
113,100
114,101
115,102
116,103
117,104
118,105
119,106
120,107
121,108
122,109
123,110
124,111
125,112
126,113
127,114
128,115
129,116
130,117
131,118
132,119
133,120
135,121
137,122
138,123
139,124
140,125
143,126
144,127
145,128
146,129
147,130
148,131
149,132
150,133
151,134
153,135
154,136
155,137
156,138
157,139
159,140
160,141
161,142
162,143
163,144
164,145
165,146
166,147
167,148
168,149
169,150
170,151
171,152
172,153
173,154
174,155
176,156
177,157
178,158
179,159
180,160
181,161
182,162
183,163
184,164
185,165
186,166
187,167
188,168
189,169
190,170
191,171
192,172
193,173
194,174
195,175
196,176
